answers,background,oppo,others,question,samsung,vivo,xiaomi,Participant,Question
0,1,1,0,0,1,0,0,Participant20,5
2,0,0,1,2,0,2,0,Participant20,5
0,0,0,1,0,0,0,0,Participant20,5
0,0,0,0,0,4,2,0,Participant20,5
0,3,0,0,0,1,0,0,Participant20,5
2,1,0,4,0,0,0,2,Participant20,5
0,1,0,0,2,1,0,1,Participant20,5
0,0,0,0,0,2,1,0,Participant20,5
