answers,background,computer,retail,search_portal,social_network,software,Participant,Question
0,1,0,1,1,1,0,Participant5,1
1,0,0,0,1,0,0,Participant5,1
1,0,0,0,0,1,0,Participant5,1
0,0,1,0,1,0,2,Participant5,1
0,0,0,1,0,1,3,Participant5,1
2,0,1,0,0,0,0,Participant5,1
1,0,0,2,2,0,0,Participant5,1
