Rest,Rest1,answers,background,question,year_2012,Participant,Question
0,1,0,1,0,0,Participant38,11
0,0,1,1,0,3,Participant38,11
0,1,0,1,0,2,Participant38,11
2,0,1,0,7,2,Participant38,11
0,0,1,6,0,1,Participant38,11
0,3,0,4,1,0,Participant38,11
