answers,background,city_left,city_right,legend,question,seoul,y_axis,Participant,Question
0,1,0,1,0,0,1,1,Participant29,7
0,0,4,1,1,1,1,1,Participant29,7
1,3,0,0,0,1,2,2,Participant29,7
1,1,0,0,2,0,0,0,Participant29,7
0,0,0,2,0,2,0,0,Participant29,7
0,2,0,0,0,0,1,1,Participant29,7
0,0,5,0,0,0,0,1,Participant29,7
2,1,0,0,1,0,1,0,Participant29,7
