Participant,Question_ID,Duration_sec,Saccade_Count,Saccades_per_min,Scanpath_Length_norm,Scanpath_per_min_norm,Vertical_Ratio,Regression_Rate,Directional_Entropy
Participant5,6.5,18.5535,71.5,231.4308,7.3596,24.2149,0.6884,0.4789,2.8556
Participant9,6.5,16.4682,65.0833,238.0643,8.6628,31.9041,0.7088,0.4892,2.8232
