answers,apple,background,others,question,samsung,vivo,xiaomi,Participant,Question
0,0,2,2,0,1,1,2,Participant55,5
1,0,0,0,0,0,0,0,Participant55,5
3,0,0,0,2,0,0,0,Participant55,5
2,0,1,0,0,3,0,0,Participant55,5
0,0,1,1,0,0,0,0,Participant55,5
1,0,1,2,0,0,0,2,Participant55,5
1,1,0,1,0,2,0,0,Participant55,5
