t,x,y
142294,0.4835,0.4412
142782,0.4106,0.1765
142924,0.3428,0.1546
143113,0.365,0.1566
143274,0.3975,0.1539
143474,0.4387,0.1432
143657,0.4583,0.1425
143907,0.498,0.135
144082,0.5489,0.1315
144357,0.5285,0.1386
144649,0.5475,0.1406
144907,0.5719,0.1338
145090,0.5973,0.1494
145257,0.5835,0.1532
145490,0.6009,0.1528
145690,0.6386,0.1466
145974,0.5976,0.1495
146190,0.3756,0.2313
146490,0.3633,0.2873
146674,0.363,0.3481
147124,0.3644,0.302
147365,0.4921,0.6191
147732,0.4366,0.5588
147889,0.4898,0.5974
148065,0.4354,0.5551
148365,0.4219,0.5398
148557,0.3881,0.4523
148737,0.4099,0.387
148890,0.5234,0.3808
149249,0.4982,0.1724
149515,0.4589,0.1417
149840,0.5233,0.1404
150107,0.4099,0.5177
150390,0.4088,0.4086
150590,0.5128,0.4136
150824,0.4886,0.4273
151199,0.588,0.4111
151524,0.4628,0.4249
151865,0.3975,0.4418
152274,0.4174,0.3985
152732,0.4663,0.6614
152899,0.5069,0.4121
153149,0.4985,0.5938
153249,0.4764,0.5632
153632,0.5093,0.7908
153857,0.5051,0.7702
154040,0.5019,0.645
154282,0.4974,0.6796
154515,0.4805,0.6763
155365,0.4944,0.8663
156315,0.5348,0.6713
