Rest1,answers,background,question,year_2012,Participant,Question
0,1,2,0,2,Participant23,11
2,0,0,0,2,Participant23,11
1,0,0,1,5,Participant23,11
1,0,1,0,0,Participant23,11
1,3,4,0,0,Participant23,11
