t,x,y
242694,0.4892,0.2062
242911,0.4682,0.1918
243102,0.3707,0.1183
243261,0.3993,0.1075
243419,0.4449,0.1075
243619,0.5126,0.1015
243794,0.544,0.1074
244027,0.5692,0.1208
244177,0.5871,0.1226
244377,0.6111,0.1302
244536,0.6433,0.1357
244869,0.6558,0.1357
245042,0.6227,0.2415
245161,0.627,0.2684
245394,0.624,0.2933
245619,0.6247,0.3155
245861,0.5776,0.3443
246136,0.624,0.3063
246344,0.5581,0.5513
246552,0.5033,0.6948
246836,0.5017,0.7682
247058,0.5069,0.7223
247344,0.6077,0.3714
247519,0.6236,0.3152
248252,0.5755,0.3465
248477,0.6215,0.3067
248836,0.5321,0.3799
248969,0.5461,0.1674
249169,0.5355,0.1414
249294,0.4949,0.1386
249477,0.497,0.1766
249611,0.5218,0.1607
249719,0.5476,0.1211
249936,0.5526,0.109
250061,0.6106,0.1244
250219,0.6455,0.1291
250419,0.6125,0.3097
250627,0.6259,0.3259
250836,0.5535,0.4025
251052,0.5345,0.3849
251327,0.5253,0.5755
251552,0.5005,0.7631
252919,0.4998,0.9126
253319,0.5141,0.2758
253585,0.4776,0.2
