answers,background,city_left,city_right,legend,seoul,y_axis,Participant,Question
0,1,0,1,0,1,1,Participant15,7
0,0,2,2,1,1,1,Participant15,7
0,1,0,0,0,1,2,Participant15,7
1,0,0,0,1,5,2,Participant15,7
2,0,0,1,0,1,0,Participant15,7
0,2,1,4,2,0,0,Participant15,7
2,2,1,1,0,0,0,Participant15,7
