Rest,Rest1,answers,background,year_2012,Participant,Question
0,1,1,1,3,Participant16,11
0,0,0,6,0,Participant16,11
1,1,0,2,0,Participant16,11
4,2,3,0,1,Participant16,11
1,2,0,1,0,Participant16,11
