answers,background,others,question,samsung,vivo,xiaomi,Participant,Question
0,1,0,0,1,0,0,Participant52,5
0,0,0,1,1,0,0,Participant52,5
0,0,0,0,1,1,0,Participant52,5
0,0,1,0,0,0,0,Participant52,5
1,1,1,0,0,0,1,Participant52,5
0,0,0,0,1,0,0,Participant52,5
1,0,0,0,0,0,0,Participant52,5
