t,x,y
271876,0.494,0.4484
271981,0.4915,0.3067
272323,0.4392,0.1609
272606,0.3223,0.164
273014,0.3695,0.1882
273215,0.4215,0.1849
273456,0.4009,0.1788
273915,0.4387,0.1737
274173,0.485,0.176
274390,0.5144,0.1713
274948,0.5955,0.1226
275331,0.63,0.1174
275640,0.6555,0.1098
275781,0.4185,0.1579
276673,0.4388,0.1583
276998,0.4693,0.1522
277198,0.5097,0.1458
277965,0.52,0.1429
278190,0.5437,0.1431
278323,0.418,0.1831
278948,0.4869,0.1773
279173,0.5246,0.1739
279365,0.5065,0.1765
279565,0.5323,0.1774
279981,0.5679,0.246
280115,0.5497,0.2278
280398,0.58,0.2499
281006,0.5189,0.5216
281215,0.5272,0.5631
281481,0.4173,0.5743
281898,0.3903,0.4532
282106,0.3943,0.3656
282340,0.3949,0.3274
282806,0.3998,0.2668
282981,0.485,0.2855
283265,0.5395,0.2316
283456,0.5745,0.2449
284373,0.4756,0.6334
284631,0.5703,0.6527
284806,0.5024,0.7303
285390,0.4277,0.1459
285648,0.3483,0.1697
285856,0.6401,0.0559
286415,0.4361,0.1886
286623,0.4797,0.1864
286823,0.5356,0.1835
287081,0.5826,0.1252
287606,0.6182,0.1227
287898,0.6409,0.1248
288006,0.5997,0.1205
288465,0.4379,0.1502
288765,0.4292,0.3182
288931,0.4778,0.3801
289348,0.4683,0.2542
289606,0.3921,0.2955
289856,0.4952,0.7215
290315,0.5923,0.6557
290540,0.5569,0.5893
290998,0.5682,0.5697
291181,0.5887,0.5506
291690,0.5225,0.3171
291981,0.5475,0.3225
292198,0.5561,0.3862
292723,0.4885,0.7021
293073,0.5052,0.3714
293331,0.4828,0.341
293831,0.493,0.6855
294273,0.489,0.8042
294506,0.4953,0.6342
294948,0.6484,0.6462
295573,0.4917,0.8813
295890,0.4963,0.687
296023,0.4672,0.4737
296706,0.3373,0.1819
296948,0.3527,0.1711
297240,0.356,0.2328
297681,0.3407,0.1873
297815,0.3145,0.1762
298181,0.3601,0.1927
298973,0.3375,0.2294
