Rest,Rest1,answers,background,question,year_2012,Participant,Question
0,1,0,2,1,1,Participant18,11
2,0,2,5,0,1,Participant18,11
1,0,0,0,0,1,Participant18,11
0,6,1,0,0,1,Participant18,11
0,1,0,0,0,0,Participant18,11
2,2,0,1,0,0,Participant18,11
