regionid,fixation_count,dwell_time,mean_duration
1,0,0.0,0.0
2,1,200.0,200.0
3,0,0.0,0.0
4,0,0.0,0.0
5,1,333.0,333.0
6,0,0.0,0.0
7,0,0.0,0.0
8,4,1001.0,250.25
9,7,1783.0,254.71428571428572
10,5,1317.0,263.4
11,0,0.0,0.0
12,1,233.0,233.0
13,0,0.0,0.0
14,0,0.0,0.0
15,3,559.0,186.33333333333334
16,0,0.0,0.0
17,0,0.0,0.0
18,0,0.0,0.0
19,0,0.0,0.0
20,0,0.0,0.0
21,4,758.0,189.5
22,2,625.0,312.5
23,1,217.0,217.0
24,0,0.0,0.0
25,0,0.0,0.0
26,0,0.0,0.0
27,0,0.0,0.0
28,6,1867.0,311.1666666666667
29,1,150.0,150.0
30,0,0.0,0.0
31,0,0.0,0.0
32,0,0.0,0.0
33,0,0.0,0.0
34,4,783.0,195.75
35,0,0.0,0.0
36,0,0.0,0.0
