answers,background,city_left,city_right,legend,question,seoul,y_axis,Participant,Question
0,0,2,2,0,0,1,1,Participant9,7
0,0,1,0,1,0,1,1,Participant9,7
0,0,0,1,0,1,3,2,Participant9,7
1,2,0,0,1,2,2,0,Participant9,7
0,0,0,2,0,0,1,0,Participant9,7
0,0,1,1,1,0,0,0,Participant9,7
2,2,2,1,0,1,0,2,Participant9,7
2,0,1,1,0,0,2,0,Participant9,7
