answers,apple,background,oppo,others,question,samsung,vivo,xiaomi,Participant,Question
0,0,0,0,1,0,3,1,2,Participant9,5
0,0,0,0,0,0,1,0,0,Participant9,5
0,0,0,0,0,0,0,0,1,Participant9,5
0,0,0,0,0,0,0,0,1,Participant9,5
4,0,0,0,0,2,3,1,0,Participant9,5
1,0,1,0,2,0,0,1,0,Participant9,5
1,0,0,0,6,1,0,0,1,Participant9,5
0,0,0,1,0,1,1,0,0,Participant9,5
1,1,0,0,1,0,2,0,0,Participant9,5
