Rest,Rest1,answers,background,question,year_2012,Participant,Question
0,0,0,1,0,0,Participant8,11
0,0,3,4,0,1,Participant8,11
0,4,0,2,1,0,Participant8,11
0,5,3,0,0,2,Participant8,11
0,0,0,0,0,1,Participant8,11
1,0,0,3,0,0,Participant8,11
