Rest,Rest1,answers,background,question,year_2012,Participant,Question
0,0,0,6,0,2,Participant2,11
0,0,1,3,0,2,Participant2,11
1,2,0,0,0,0,Participant2,11
5,2,2,0,2,3,Participant2,11
0,0,0,2,0,0,Participant2,11
2,2,0,3,0,0,Participant2,11
