answers,background,question,rest_left,rest_right,year_2012,Participant,Question
0,0,0,0,2,0,Participant64,11
2,0,1,0,2,2,Participant64,11
0,2,0,0,0,0,Participant64,11
0,0,1,0,0,1,Participant64,11
0,5,0,0,0,2,Participant64,11
0,1,0,1,3,0,Participant64,11
