t,x,y
103466,0.5066,0.8974
103706,0.4987,0.4207
103864,0.4893,0.2681
103998,0.4591,0.1873
104156,0.4467,0.2037
104364,0.375,0.1449
104564,0.4216,0.1474
104720,0.4758,0.1516
104864,0.5247,0.1521
105048,0.5953,0.1433
105306,0.5191,0.148
105598,0.5428,0.1709
105898,0.5164,0.4553
106139,0.4748,0.5493
106364,0.4372,0.5583
106581,0.6045,0.3019
106831,0.6135,0.3206
107281,0.54,0.4224
107556,0.4489,0.4232
107928,0.5272,0.4299
108223,0.4875,0.4446
108614,0.4553,0.442
109181,0.4731,0.4506
110039,0.5733,0.4383
110256,0.5553,0.4403
110531,0.5267,0.3954
111048,0.6107,0.3162
111431,0.6074,0.3346
111631,0.4697,0.4752
111798,0.4727,0.5765
112131,0.498,0.7606
112364,0.5044,0.7079
112914,0.4937,0.4643
113123,0.4963,0.5516
113331,0.4993,0.7942
113598,0.4914,0.8382
113739,0.4942,0.7615
114198,0.5006,0.8759
114439,0.5004,0.5243
114914,0.5344,0.6824
115098,0.5032,0.71
115239,0.661,0.696
115506,0.4997,0.7169
115744,0.5087,0.889
116156,0.4574,0.2935
116289,0.4528,0.2101
