t,x,y
151560,0.4614,0.2183
151827,0.4136,0.1601
151944,0.3929,0.1499
152152,0.3728,0.1484
152411,0.3978,0.1481
152936,0.429,0.1504
153219,0.4696,0.1469
153469,0.5176,0.1461
153644,0.4998,0.1445
153819,0.4619,0.1465
154169,0.5354,0.1423
154394,0.5181,0.1477
154619,0.576,0.1434
154794,0.6197,0.1374
154977,0.6357,0.139
155311,0.4038,0.1706
155561,0.4223,0.166
155744,0.475,0.162
155927,0.4485,0.1684
156111,0.5096,0.1671
156444,0.5448,0.1635
156827,0.5862,0.1602
157011,0.5654,0.1594
157261,0.5026,0.379
157411,0.5402,0.382
157636,0.4094,0.3279
157936,0.4063,0.3447
158444,0.4172,0.3879
158702,0.5423,0.3893
159119,0.4128,0.154
159302,0.3908,0.1384
159569,0.4267,0.1397
159777,0.4906,0.1431
160019,0.5388,0.1434
160261,0.5805,0.1418
160502,0.6154,0.1394
160752,0.6255,0.1408
161002,0.4,0.1716
161686,0.3986,0.2972
161911,0.5443,0.3962
162094,0.5326,0.3837
162294,0.402,0.3429
162611,0.4014,0.1389
162819,0.5631,0.1408
163036,0.608,0.1433
163552,0.4047,0.171
164027,0.5577,0.3767
164211,0.5324,0.3885
164511,0.4103,0.3396
165386,0.4102,0.2882
165727,0.4105,0.3377
166336,0.5425,0.3889
166719,0.4561,0.2468
166927,0.4013,0.2988
167211,0.4863,0.2905
167469,0.4147,0.349
167969,0.4695,0.2703
168227,0.5401,0.3923
168686,0.4281,0.2647
168902,0.4897,0.277
169186,0.4942,0.7563
169509,0.505,0.6685
170277,0.5116,0.7919
170677,0.4344,0.2695
170836,0.4197,0.1673
171061,0.5266,0.1467
171269,0.5665,0.1436
171627,0.6147,0.1471
171977,0.4171,0.1672
172144,0.3993,0.1729
172336,0.4796,0.1648
172644,0.503,0.8254
172757,0.5142,0.8048
172952,0.4658,0.5391
173294,0.5129,0.6964
173602,0.6506,0.6838
