regionid,fixation_count,dwell_time,mean_duration
1,0,0.0,0.0
2,9,1832.0,203.55555555555554
3,6,1433.0,238.83333333333334
4,6,1193.0,198.83333333333334
5,2,308.0,154.0
6,1,292.0,292.0
7,0,0.0,0.0
8,2,308.0,154.0
9,2,350.0,175.0
10,3,542.0,180.66666666666666
11,3,583.0,194.33333333333334
12,0,0.0,0.0
13,0,0.0,0.0
14,5,642.0,128.4
15,3,333.0,111.0
16,2,517.0,258.5
17,2,284.0,142.0
18,0,0.0,0.0
19,0,0.0,0.0
20,1,233.0,233.0
21,1,258.0,258.0
22,2,350.0,175.0
23,1,150.0,150.0
24,0,0.0,0.0
25,0,0.0,0.0
26,0,0.0,0.0
27,1,208.0,208.0
28,5,1842.0,368.4
29,0,0.0,0.0
30,0,0.0,0.0
31,0,0.0,0.0
32,0,0.0,0.0
33,0,0.0,0.0
34,1,133.0,133.0
35,0,0.0,0.0
36,0,0.0,0.0
