regionid,fixation_count,dwell_time,mean_duration
1,0,0.0,0.0
2,0,0.0,0.0
3,4,759.0,189.75
4,4,842.0,210.5
5,2,367.0,183.5
6,0,0.0,0.0
7,0,0.0,0.0
8,5,984.0,196.8
9,1,183.0,183.0
10,0,0.0,0.0
11,7,1441.0,205.85714285714286
12,0,0.0,0.0
13,0,0.0,0.0
14,6,1458.0,243.0
15,5,1350.0,270.0
16,0,0.0,0.0
17,1,125.0,125.0
18,0,0.0,0.0
19,0,0.0,0.0
20,0,0.0,0.0
21,6,1475.0,245.83333333333334
22,1,133.0,133.0
23,0,0.0,0.0
24,0,0.0,0.0
25,0,0.0,0.0
26,0,0.0,0.0
27,0,0.0,0.0
28,5,1142.0,228.4
29,0,0.0,0.0
30,0,0.0,0.0
31,0,0.0,0.0
32,0,0.0,0.0
33,0,0.0,0.0
34,1,500.0,500.0
35,0,0.0,0.0
36,0,0.0,0.0
