answers,background,grid_0_0,grid_0_2,grid_1_0,grid_1_1,grid_2_0,grid_2_1,grid_2_2,grid_2_3,grid_3_1,grid_3_2,grid_3_3,question,Participant,Question
0,0,0,0,0,0,0,0,0,0,0,1,0,1,Participant52,12
1,0,0,1,0,1,0,0,1,0,1,0,1,3,Participant52,12
0,1,0,0,0,0,0,0,0,0,0,0,0,0,Participant52,12
0,2,0,0,0,0,0,1,0,0,0,0,0,0,Participant52,12
0,0,1,0,0,0,0,0,0,0,0,0,0,0,Participant52,12
0,0,0,0,0,0,0,0,1,0,0,0,0,0,Participant52,12
0,0,0,0,1,0,0,0,0,0,0,0,0,0,Participant52,12
1,0,0,0,0,0,1,0,0,0,0,0,0,0,Participant52,12
0,0,0,0,0,0,0,1,0,0,0,0,1,0,Participant52,12
0,0,0,1,0,0,0,0,0,0,0,0,0,0,Participant52,12
0,1,0,0,0,0,0,0,0,0,0,0,0,0,Participant52,12
0,1,0,0,0,0,0,0,0,0,0,0,0,0,Participant52,12
0,1,0,0,0,0,0,0,0,1,0,0,0,0,Participant52,12
0,4,0,1,0,0,0,0,0,0,0,0,0,0,Participant52,12
