answers,background,city_left,city_right,legend,question,seoul,y_axis,Participant,Question
0,1,2,1,1,0,2,0,Participant41,7
2,0,1,5,1,1,0,1,Participant41,7
1,2,0,1,0,1,2,1,Participant41,7
1,4,0,0,3,4,3,0,Participant41,7
1,0,0,4,0,0,0,0,Participant41,7
1,3,1,1,0,0,0,0,Participant41,7
0,0,3,3,0,0,0,2,Participant41,7
1,1,1,0,0,0,1,0,Participant41,7
