answers,background,rest_left,rest_right,year_2012,Participant,Question
0,1,1,1,2,Participant55,11
1,0,1,1,3,Participant55,11
0,0,0,0,1,Participant55,11
1,3,0,0,3,Participant55,11
3,1,0,5,0,Participant55,11
