Rest,Rest1,answers,background,question,year_2012,Participant,Question
0,0,0,2,0,2,Participant36,11
0,0,0,2,0,1,Participant36,11
2,0,0,1,1,0,Participant36,11
0,3,2,0,2,2,Participant36,11
1,0,0,1,0,0,Participant36,11
0,0,2,3,0,0,Participant36,11
