answers,background,computer,retail,search_portal,social_network,software,Participant,Question
0,0,0,1,1,0,1,Participant10,1
0,0,0,0,0,0,1,Participant10,1
0,0,0,0,1,1,0,Participant10,1
0,0,2,0,3,0,2,Participant10,1
1,0,0,4,0,1,3,Participant10,1
1,0,0,0,1,0,0,Participant10,1
1,1,0,2,2,0,0,Participant10,1
