t,x,y
356147,0.4807,0.3774
356484,0.4578,0.39
357118,0.4976,0.6425
357376,0.4539,0.2236
357534,0.4747,0.1424
357751,0.3822,0.1032
358076,0.4013,0.114
358518,0.4227,0.1329
358668,0.4576,0.1308
358976,0.481,0.1307
359259,0.4988,0.1339
359443,0.5342,0.1318
360276,0.5487,0.1307
360551,0.5631,0.1334
360731,0.6271,0.1341
360943,0.6377,0.1306
361068,0.5233,0.1549
361218,0.4814,0.1605
361601,0.5096,0.1639
361776,0.5395,0.1648
362018,0.5496,0.1625
362201,0.4797,0.377
362451,0.4843,0.5129
362584,0.4808,0.5441
362731,0.4685,0.5499
362859,0.4455,0.5424
363426,0.438,0.4895
363668,0.4346,0.4029
363851,0.4357,0.326
364059,0.4342,0.2776
364493,0.4358,0.259
364743,0.4291,0.2356
364968,0.4188,0.2316
365143,0.503,0.7093
365768,0.5035,0.7367
365909,0.5052,0.7129
366109,0.504,0.6709
366593,0.4232,0.2612
367768,0.4946,0.7549
368151,0.4949,0.713
368351,0.4185,0.3012
368568,0.4247,0.2728
368818,0.4362,0.29
369518,0.4537,0.2498
369659,0.4533,0.5161
369809,0.4425,0.5429
369984,0.4333,0.5481
370209,0.4311,0.2958
370434,0.436,0.2737
370934,0.4871,0.6652
371176,0.4955,0.7111
371626,0.5088,0.8382
372001,0.4968,0.7801
372176,0.4977,0.7552
372343,0.4864,0.4385
