from_region,7,8,9,10,11,14,15,17,20,21,22,27,28,33,34
7,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9,0,1,5,4,0,0,0,1,0,0,0,1,0,0,0
10,0,0,3,5,1,1,1,0,0,0,0,0,0,0,0
11,0,0,1,0,2,0,0,0,0,0,0,0,2,0,0
14,0,1,0,0,0,4,1,0,0,0,0,2,0,0,0
15,0,0,2,0,0,2,5,2,0,1,0,0,0,0,0
17,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
20,1,0,0,1,0,0,0,0,3,0,0,0,0,0,0
21,0,0,0,0,0,0,1,1,0,4,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
27,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0
28,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
33,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0
34,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
