regionid,fixation_count,dwell_time,mean_duration
1,0,0.0,0.0
2,0,0.0,0.0
3,0,0.0,0.0
4,0,0.0,0.0
5,0,0.0,0.0
6,0,0.0,0.0
7,3,683.0,227.66666666666666
8,2,308.0,154.0
9,12,2151.0,179.25
10,11,2141.0,194.63636363636363
11,5,1134.0,226.8
12,0,0.0,0.0
13,0,0.0,0.0
14,8,1983.0,247.875
15,12,3250.0,270.8333333333333
16,0,0.0,0.0
17,4,1208.0,302.0
18,1,233.0,233.0
19,0,0.0,0.0
20,5,1175.0,235.0
21,6,1475.0,245.83333333333334
22,2,367.0,183.5
23,0,0.0,0.0
24,0,0.0,0.0
25,0,0.0,0.0
26,0,0.0,0.0
27,5,1275.0,255.0
28,4,716.0,179.0
29,0,0.0,0.0
30,0,0.0,0.0
31,0,0.0,0.0
32,0,0.0,0.0
33,4,841.0,210.25
34,2,400.0,200.0
35,0,0.0,0.0
36,0,0.0,0.0
