regionid,fixation_count,dwell_time,mean_duration
1,0,0.0,0.0
2,0,0.0,0.0
3,0,0.0,0.0
4,0,0.0,0.0
5,0,0.0,0.0
6,0,0.0,0.0
7,1,150.0,150.0
8,17,6058.0,356.3529411764706
9,12,3499.0,291.5833333333333
10,13,3166.0,243.53846153846155
11,4,858.0,214.5
12,0,0.0,0.0
13,0,0.0,0.0
14,4,717.0,179.25
15,1,158.0,158.0
16,0,0.0,0.0
17,0,0.0,0.0
18,0,0.0,0.0
19,0,0.0,0.0
20,5,1209.0,241.8
21,8,2068.0,258.5
22,1,325.0,325.0
23,1,150.0,150.0
24,0,0.0,0.0
25,0,0.0,0.0
26,0,0.0,0.0
27,8,2676.0,334.5
28,0,0.0,0.0
29,2,491.0,245.5
30,0,0.0,0.0
31,0,0.0,0.0
32,0,0.0,0.0
33,1,575.0,575.0
34,0,0.0,0.0
35,0,0.0,0.0
36,0,0.0,0.0
