regionid,fixation_count,dwell_time,mean_duration
1,0,0.0,0.0
2,6,1042.0,173.66666666666666
3,9,1517.0,168.55555555555554
4,8,1533.0,191.625
5,9,1359.0,151.0
6,2,733.0,366.5
7,0,0.0,0.0
8,9,1643.0,182.55555555555554
9,3,433.0,144.33333333333334
10,3,508.0,169.33333333333334
11,1,108.0,108.0
12,0,0.0,0.0
13,0,0.0,0.0
14,1,175.0,175.0
15,3,342.0,114.0
16,1,150.0,150.0
17,0,0.0,0.0
18,0,0.0,0.0
19,0,0.0,0.0
20,1,117.0,117.0
21,3,533.0,177.66666666666666
22,3,1049.0,349.6666666666667
23,4,850.0,212.5
24,0,0.0,0.0
25,0,0.0,0.0
26,0,0.0,0.0
27,3,441.0,147.0
28,2,584.0,292.0
29,0,0.0,0.0
30,0,0.0,0.0
31,0,0.0,0.0
32,0,0.0,0.0
33,0,0.0,0.0
34,1,350.0,350.0
35,0,0.0,0.0
36,0,0.0,0.0
