Rest,Rest1,answers,background,question,year_2012,Participant,Question
0,2,0,1,0,0,Participant21,11
3,0,4,3,0,1,Participant21,11
0,5,0,0,0,0,Participant21,11
1,2,0,0,4,0,Participant21,11
0,0,1,3,0,1,Participant21,11
0,2,0,0,0,0,Participant21,11
