t,x,y
209736,0.4735,0.4163
210133,0.4636,0.22
210386,0.4745,0.3173
210569,0.4786,0.2177
210811,0.4219,0.2142
211069,0.4673,0.2183
211344,0.5067,0.2128
211644,0.5502,0.2169
211869,0.6228,0.3852
212161,0.6154,0.3477
212353,0.618,0.3008
212519,0.5454,0.2378
212711,0.5506,0.2133
213111,0.5351,0.2182
213244,0.6156,0.2876
213386,0.6109,0.3032
213544,0.6101,0.342
214086,0.4754,0.367
214344,0.4645,0.4068
214528,0.3695,0.3451
214753,0.3851,0.3551
214878,0.5239,0.5331
215086,0.524,0.5672
215328,0.5345,0.5903
215509,0.5177,0.5876
215719,0.4185,0.5591
216111,0.3957,0.5558
216336,0.5469,0.5821
216836,0.4627,0.5814
217144,0.4354,0.5585
217444,0.4058,0.5506
217569,0.4317,0.5599
217794,0.4464,0.5532
218011,0.4426,0.3898
218211,0.4299,0.3983
218636,0.3826,0.3754
219578,0.4419,0.3854
219986,0.502,0.7033
220578,0.4891,0.5805
220736,0.4903,0.6584
221111,0.5068,0.775
221501,0.5107,0.6908
221986,0.505,0.6491
222525,0.5099,0.8401
222736,0.4954,0.8135
222969,0.4996,0.76
223319,0.4366,0.4204
223561,0.4256,0.3732
