Rest,Rest1,answers,background,year_2012,Participant,Question
0,0,0,1,0,Participant6,11
0,0,0,4,2,Participant6,11
1,2,0,1,2,Participant6,11
0,4,2,0,1,Participant6,11
0,0,3,1,0,Participant6,11
