t,x,y
362672,0.4837,0.6016
363054,0.4421,0.2243
363176,0.4434,0.1319
363362,0.3779,0.0987
363592,0.4134,0.0961
363854,0.4377,0.0999
363971,0.4818,0.1013
364184,0.5216,0.1032
364371,0.5061,0.1033
364612,0.5306,0.1075
364912,0.5075,0.1037
365237,0.5317,0.1049
365354,0.5657,0.1027
365696,0.5307,0.1047
366079,0.5652,0.1041
366421,0.5789,0.1019
366554,0.6233,0.0971
366871,0.5523,0.5379
367187,0.5841,0.5662
367384,0.5869,0.5398
367587,0.5878,0.3925
369037,0.5949,0.4967
369254,0.592,0.5368
369529,0.5924,0.5173
369721,0.5906,0.2821
370179,0.5204,0.2802
370721,0.4179,0.2854
371087,0.4314,0.2907
371754,0.5699,0.3008
373529,0.5483,0.7836
373679,0.5006,0.7572
373887,0.4991,0.6844
374144,0.502,0.6523
374446,0.5154,0.6469
374754,0.505,0.6995
375037,0.5058,0.8298
375336,0.5035,0.8943
375621,0.5024,0.7493
376096,0.5706,0.3386
