regionid,fixation_count,dwell_time,mean_duration
1,0,0.0,0.0
2,2,333.0,166.5
3,2,450.0,225.0
4,4,708.0,177.0
5,2,367.0,183.5
6,0,0.0,0.0
7,1,242.0,242.0
8,6,1133.0,188.83333333333334
9,2,266.0,133.0
10,1,158.0,158.0
11,4,1199.0,299.75
12,0,0.0,0.0
13,0,0.0,0.0
14,3,767.0,255.66666666666666
15,3,908.0,302.6666666666667
16,0,0.0,0.0
17,2,309.0,154.5
18,0,0.0,0.0
19,0,0.0,0.0
20,1,125.0,125.0
21,9,1448.0,160.88888888888889
22,1,342.0,342.0
23,0,0.0,0.0
24,0,0.0,0.0
25,0,0.0,0.0
26,0,0.0,0.0
27,2,283.0,141.5
28,4,900.0,225.0
29,0,0.0,0.0
30,0,0.0,0.0
31,0,0.0,0.0
32,0,0.0,0.0
33,1,333.0,333.0
34,4,1618.0,404.5
35,0,0.0,0.0
36,0,0.0,0.0
