answers,background,others,question,samsung,vivo,xiaomi,Participant,Question
0,3,1,0,1,0,0,Participant38,5
0,0,2,1,0,1,0,Participant38,5
1,0,0,3,0,1,0,Participant38,5
2,1,1,0,1,0,0,Participant38,5
0,0,2,0,0,0,1,Participant38,5
0,0,0,1,0,0,1,Participant38,5
1,0,0,0,1,0,0,Participant38,5
