answers,background,others,question,samsung,vivo,xiaomi,Participant,Question
0,1,0,0,6,0,1,Participant18,5
0,0,2,1,1,1,0,Participant18,5
1,2,0,0,1,1,1,Participant18,5
0,1,0,0,0,0,0,Participant18,5
6,0,3,0,0,0,0,Participant18,5
0,1,1,0,1,0,0,Participant18,5
1,0,0,0,0,0,0,Participant18,5
