answers,apple,background,others,question,samsung,vivo,xiaomi,Participant,Question
0,0,0,3,0,2,0,0,Participant54,5
1,0,0,0,0,0,0,0,Participant54,5
1,0,0,0,1,1,1,0,Participant54,5
1,0,0,0,1,1,1,1,Participant54,5
0,0,2,0,0,0,0,0,Participant54,5
1,1,1,1,0,0,1,0,Participant54,5
1,0,0,1,0,0,0,1,Participant54,5
0,0,1,0,0,1,0,0,Participant54,5
