regionid,fixation_count,dwell_time,mean_duration
1,0,0.0,0.0
2,1,142.0,142.0
3,3,524.0,174.66666666666666
4,2,475.0,237.5
5,1,358.0,358.0
6,0,0.0,0.0
7,0,0.0,0.0
8,0,0.0,0.0
9,3,700.0,233.33333333333334
10,0,0.0,0.0
11,5,1184.0,236.8
12,0,0.0,0.0
13,0,0.0,0.0
14,8,3242.0,405.25
15,8,3083.0,385.375
16,0,0.0,0.0
17,1,367.0,367.0
18,0,0.0,0.0
19,0,0.0,0.0
20,2,325.0,162.5
21,9,1598.0,177.55555555555554
22,3,1025.0,341.6666666666667
23,0,0.0,0.0
24,0,0.0,0.0
25,0,0.0,0.0
26,0,0.0,0.0
27,2,717.0,358.5
28,7,2475.0,353.57142857142856
29,0,0.0,0.0
30,0,0.0,0.0
31,0,0.0,0.0
32,0,0.0,0.0
33,0,0.0,0.0
34,1,217.0,217.0
35,0,0.0,0.0
36,0,0.0,0.0
