from_region,2,3,4,5,9,11,14,15,17,20,21,22,27,28,34
2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
9,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
11,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0
14,0,0,0,0,0,0,1,4,0,0,0,0,2,1,0
15,0,0,0,0,0,0,5,2,0,0,1,0,0,0,0
17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
21,0,0,0,0,0,0,0,1,0,2,6,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
27,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
28,0,0,0,0,2,0,1,0,0,0,0,0,0,3,1
34,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
