regionid,fixation_count,dwell_time,mean_duration
1,0,0.0,0.0
2,6,1191.0,198.5
3,3,534.0,178.0
4,1,275.0,275.0
5,2,325.0,162.5
6,0,0.0,0.0
7,0,0.0,0.0
8,2,600.0,300.0
9,2,341.0,170.5
10,7,1367.0,195.28571428571428
11,4,617.0,154.25
12,0,0.0,0.0
13,0,0.0,0.0
14,0,0.0,0.0
15,2,575.0,287.5
16,1,167.0,167.0
17,2,567.0,283.5
18,0,0.0,0.0
19,0,0.0,0.0
20,2,258.0,129.0
21,0,0.0,0.0
22,1,200.0,200.0
23,0,0.0,0.0
24,0,0.0,0.0
25,0,0.0,0.0
26,0,0.0,0.0
27,3,1108.0,369.3333333333333
28,0,0.0,0.0
29,0,0.0,0.0
30,0,0.0,0.0
31,0,0.0,0.0
32,0,0.0,0.0
33,0,0.0,0.0
34,0,0.0,0.0
35,0,0.0,0.0
36,0,0.0,0.0
