Rest,Rest1,answers,background,question,year_2012,Participant,Question
0,1,0,3,0,2,Participant29,11
0,0,0,4,0,0,Participant29,11
2,1,0,1,0,0,Participant29,11
3,1,3,0,1,3,Participant29,11
0,0,0,1,0,0,Participant29,11
2,1,1,1,0,0,Participant29,11
