answers,background,city_left,city_right,legend,seoul,y_axis,Participant,Question
0,2,0,2,0,3,1,Participant16,7
1,0,2,2,1,0,3,Participant16,7
3,0,0,0,0,0,2,Participant16,7
2,4,0,0,0,2,1,Participant16,7
0,1,0,0,0,0,0,Participant16,7
1,0,1,3,0,0,2,Participant16,7
2,1,2,2,0,2,0,Participant16,7
