answers,background,question,rest_left,rest_right,year_2012,Participant,Question
0,1,0,1,0,0,Participant62,11
0,0,3,0,4,1,Participant62,11
0,3,0,0,0,0,Participant62,11
0,1,0,0,0,0,Participant62,11
1,2,0,0,0,1,Participant62,11
1,1,0,0,0,0,Participant62,11
