regionid,fixation_count,dwell_time,mean_duration
1,0,0.0,0.0
2,0,0.0,0.0
3,0,0.0,0.0
4,0,0.0,0.0
5,0,0.0,0.0
6,0,0.0,0.0
7,0,0.0,0.0
8,1,233.0,233.0
9,4,825.0,206.25
10,5,1100.0,220.0
11,3,417.0,139.0
12,0,0.0,0.0
13,0,0.0,0.0
14,4,1557.0,389.25
15,7,1884.0,269.14285714285717
16,0,0.0,0.0
17,3,942.0,314.0
18,0,0.0,0.0
19,0,0.0,0.0
20,3,650.0,216.66666666666666
21,6,1333.0,222.16666666666666
22,5,1218.0,243.6
23,0,0.0,0.0
24,0,0.0,0.0
25,0,0.0,0.0
26,0,0.0,0.0
27,1,217.0,217.0
28,5,2074.0,414.8
29,0,0.0,0.0
30,0,0.0,0.0
31,0,0.0,0.0
32,0,0.0,0.0
33,0,0.0,0.0
34,2,409.0,204.5
35,0,0.0,0.0
36,0,0.0,0.0
