t,x,y
183550,0.6712,0.628
184078,0.4255,0.2322
184315,0.4233,0.1308
184590,0.4034,0.175
184798,0.4508,0.1729
185022,0.4921,0.1695
185248,0.5289,0.1692
185765,0.5792,0.163
185998,0.5652,0.1653
186456,0.5047,0.3388
186648,0.5946,0.2444
187390,0.5449,0.2648
187590,0.5223,0.3105
187990,0.5896,0.2627
188231,0.5106,0.545
188490,0.4903,0.691
188823,0.5143,0.297
189265,0.3442,0.3544
189448,0.3709,0.3543
189856,0.4222,0.6732
189990,0.4762,0.7479
190131,0.5137,0.7809
190465,0.5838,0.3397
190815,0.5104,0.13
191056,0.4708,0.163
191215,0.4432,0.1645
191515,0.4865,0.1549
191748,0.5206,0.1506
191956,0.3756,0.2853
192115,0.3831,0.3466
192331,0.3704,0.3091
192590,0.5987,0.2502
192865,0.5895,0.2415
193031,0.6509,0.0608
193306,0.4453,0.262
193498,0.3728,0.3151
193873,0.4362,0.5292
194106,0.4325,0.5636
194440,0.4215,0.4829
194706,0.4266,0.3432
195206,0.3655,0.3399
195723,0.4084,0.344
195881,0.4353,0.3464
196181,0.4225,0.3465
196356,0.3689,0.3389
196556,0.3533,0.2528
196715,0.3315,0.2552
196881,0.3327,0.286
197181,0.4297,0.4121
197348,0.4485,0.3612
197498,0.4239,0.3475
197856,0.3702,0.3426
198273,0.4642,0.7073
198440,0.5009,0.7394
198790,0.5046,0.788
199048,0.5042,0.8241
199456,0.4357,0.3694
199723,0.362,0.3448
200056,0.3677,0.3229
200348,0.4384,0.3441
200715,0.4244,0.3441
200948,0.3935,0.3434
201223,0.3675,0.3338
201473,0.4176,0.3434
201670,0.5022,0.7489
201854,0.5047,0.8035
202165,0.5041,0.71
202548,0.5057,0.6875
202706,0.5066,0.7313
202940,0.5075,0.7569
203294,0.5093,0.8153
203940,0.61,0.7056
204078,0.4859,0.6649
204348,0.4919,0.7234
204715,0.381,0.3093
