t,x,y
107652,0.2152,0.3113
107852,0.4553,0.4174
108102,0.4117,0.1878
108260,0.3979,0.1683
108493,0.376,0.1565
108985,0.4092,0.1546
109368,0.4601,0.1612
109568,0.4165,0.1537
110127,0.4461,0.16
110460,0.5282,0.1606
110768,0.5552,0.1582
110985,0.5997,0.1308
111135,0.6044,0.156
111527,0.4207,0.2548
111727,0.3966,0.1727
111927,0.4024,0.1899
112077,0.4027,0.2348
112252,0.3912,0.2349
112460,0.3953,0.1963
112610,0.4036,0.1824
112768,0.4568,0.1793
113110,0.4066,0.1857
113585,0.4442,0.1911
113835,0.5228,0.2118
114152,0.4874,0.2811
114377,0.408,0.2337
114543,0.3975,0.2243
114835,0.4269,0.2231
115093,0.3998,0.238
115368,0.5511,0.229
115743,0.5599,0.2918
116118,0.4795,0.6403
116302,0.4967,0.6897
116560,0.4118,0.5373
116777,0.3853,0.5329
116960,0.4908,0.7748
117118,0.4867,0.7392
117318,0.4115,0.2192
117452,0.414,0.176
117627,0.441,0.1663
117827,0.4144,0.1535
118360,0.4833,0.2257
118568,0.5225,0.2071
118827,0.4932,0.4457
119068,0.5788,0.4882
119227,0.5544,0.5439
119427,0.5457,0.5776
119768,0.4529,0.2416
119935,0.4418,0.1756
120327,0.4199,0.1597
120535,0.4718,0.1749
120810,0.5792,0.5904
120952,0.5556,0.5815
121377,0.5087,0.6443
121510,0.476,0.2225
121793,0.489,0.178
121935,0.5,0.1867
122118,0.5541,0.1806
122485,0.502,0.1907
122760,0.5463,0.3249
123027,0.5548,0.3559
123235,0.5268,0.7208
123352,0.5041,0.6933
123518,0.5089,0.6515
124418,0.4966,0.6652
125752,0.4668,0.5071
125960,0.4145,0.1903
