t,x,y
276418,0.5267,0.5034
276800,0.5404,0.234
277175,0.5211,0.2397
277409,0.3685,0.2273
277642,0.4819,0.2364
277917,0.5557,0.2349
278325,0.5206,0.2379
278750,0.6373,0.1873
279084,0.4333,0.1885
279575,0.5017,0.1982
279909,0.356,0.2313
280167,0.4167,0.2358
281692,0.4208,0.2356
282034,0.5462,0.1798
282442,0.5222,0.1886
282825,0.4793,0.2455
282992,0.5015,0.2355
283242,0.5435,0.2356
283709,0.5111,0.2384
283934,0.6224,0.1863
284792,0.5892,0.194
285075,0.6376,0.1893
285317,0.6656,0.1823
285667,0.5278,0.3523
285842,0.5116,0.6535
286200,0.5284,0.6052
286359,0.6136,0.5436
286567,0.5853,0.5245
286834,0.5991,0.1667
287134,0.5341,0.2094
287367,0.6575,0.1795
287600,0.5754,0.5755
287709,0.6041,0.5464
287881,0.6146,0.5299
288242,0.6169,0.522
288534,0.6252,0.3218
288725,0.6306,0.2985
288884,0.6528,0.2082
289025,0.6644,0.193
289209,0.5392,0.2114
289500,0.61,0.3209
289609,0.6229,0.289
290117,0.4337,0.3425
290384,0.4478,0.3333
290775,0.6409,0.2839
291167,0.4886,0.3111
291350,0.4439,0.3124
291717,0.4748,0.3223
291917,0.6273,0.2947
292350,0.4476,0.3313
292675,0.5424,0.7402
292834,0.5005,0.7404
293167,0.5,0.7666
293492,0.498,0.8078
293684,0.5,0.6871
294084,0.5057,0.7251
294575,0.5075,0.8641
295065,0.5674,0.6532
295592,0.5108,0.6907
296017,0.4991,0.6878
