answers,background,city_left,city_right,legend,seoul,y_axis,Participant,Question
0,0,0,1,0,1,0,Participant14,7
0,0,0,0,1,1,1,Participant14,7
0,1,0,1,0,0,2,Participant14,7
1,2,2,0,1,1,0,Participant14,7
0,0,0,2,0,0,0,Participant14,7
1,0,3,0,0,0,0,Participant14,7
0,0,0,2,0,1,0,Participant14,7
