answers,background,oppo,others,question,samsung,vivo,xiaomi,Participant,Question
0,0,0,2,1,4,0,0,Participant4,5
1,0,1,0,1,0,0,1,Participant4,5
0,0,0,0,0,0,1,1,Participant4,5
0,0,1,0,2,2,1,0,Participant4,5
2,2,0,0,0,1,0,0,Participant4,5
4,1,0,2,1,0,1,0,Participant4,5
0,1,0,0,1,1,0,0,Participant4,5
0,0,0,1,0,1,0,0,Participant4,5
