t,x,y
175944,0.546,0.8097
176200,0.5433,0.4668
176425,0.5178,0.1143
176592,0.4988,0.1344
176800,0.4303,0.1374
177267,0.5032,0.1857
177975,0.5515,0.1366
178850,0.4936,0.2305
179142,0.5088,0.2148
179242,0.5103,0.2342
179392,0.5087,0.6049
179563,0.4969,0.7001
179783,0.6055,0.6607
179975,0.5229,0.7207
180142,0.5129,0.7369
180275,0.4758,0.578
180483,0.4769,0.6791
180742,0.4817,0.6049
181258,0.5041,0.2823
181417,0.507,0.3145
181925,0.5218,0.6456
182258,0.4948,0.6665
182625,0.5241,0.7386
183008,0.5217,0.8143
183292,0.5171,0.8474
183517,0.5241,0.9038
184147,0.5454,0.8782
184392,0.5589,0.8184
184575,0.5819,0.6948
184767,0.6418,0.6666
184983,0.4639,0.476
185392,0.5294,0.4395
185758,0.4897,0.2208
186033,0.4235,0.2653
186283,0.4994,0.5704
186458,0.5095,0.6101
187050,0.5566,0.8312
187158,0.544,0.784
188000,0.5459,0.787
188342,0.5604,0.7832
188458,0.5246,0.8931
188750,0.4856,0.3946
188983,0.4925,0.2591
189158,0.4972,0.2154
189608,0.4835,0.2044
189925,0.5081,0.2053
190075,0.4989,0.2095
