Rest,Rest1,answers,background,year_2012,Participant,Question
0,0,1,1,1,Participant19,11
0,0,0,3,0,Participant19,11
1,1,0,1,0,Participant19,11
2,2,0,0,3,Participant19,11
0,0,2,2,0,Participant19,11
