regionid,fixation_count,dwell_time,mean_duration
1,0,0.0,0.0
2,1,175.0,175.0
3,4,817.0,204.25
4,4,834.0,208.5
5,4,900.0,225.0
6,0,0.0,0.0
7,5,1542.0,308.4
8,8,1950.0,243.75
9,4,817.0,204.25
10,0,0.0,0.0
11,2,900.0,450.0
12,0,0.0,0.0
13,2,417.0,208.5
14,2,375.0,187.5
15,1,150.0,150.0
16,0,0.0,0.0
17,0,0.0,0.0
18,1,300.0,300.0
19,0,0.0,0.0
20,2,508.0,254.0
21,3,683.0,227.66666666666666
22,1,192.0,192.0
23,0,0.0,0.0
24,0,0.0,0.0
25,0,0.0,0.0
26,0,0.0,0.0
27,0,0.0,0.0
28,3,1216.0,405.3333333333333
29,0,0.0,0.0
30,0,0.0,0.0
31,0,0.0,0.0
32,0,0.0,0.0
33,0,0.0,0.0
34,2,467.0,233.5
35,0,0.0,0.0
36,0,0.0,0.0
