from_region,2,3,4,5,7,8,9,11,13,14,15,20,21,22,28,34
2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0
7,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,2,1,1,0,1,0,0,0,0,0,1,1
9,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0
11,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
14,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
21,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
22,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
34,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
