answers,background,city_left,city_right,legend,seoul,y_axis,Participant,Question
0,2,0,0,0,3,1,Participant26,7
2,0,1,1,1,2,3,Participant26,7
1,0,0,1,0,1,3,Participant26,7
0,2,0,0,1,0,1,Participant26,7
0,0,0,1,0,0,1,Participant26,7
1,0,3,0,0,0,3,Participant26,7
2,5,3,1,0,1,0,Participant26,7
