answers,background,others,question,samsung,vivo,Participant,Question
0,0,0,1,2,0,Participant21,5
1,0,0,1,0,0,Participant21,5
0,0,0,0,1,0,Participant21,5
0,2,1,0,0,0,Participant21,5
2,0,0,0,0,1,Participant21,5
1,0,0,0,0,0,Participant21,5
