answers,background,others,question,samsung,vivo,xiaomi,Participant,Question
0,5,1,0,0,0,0,Participant61,5
0,0,2,0,2,1,2,Participant61,5
4,0,0,1,3,1,0,Participant61,5
1,1,1,0,0,0,0,Participant61,5
1,0,4,1,0,0,0,Participant61,5
0,0,1,0,0,0,1,Participant61,5
1,1,0,1,1,0,0,Participant61,5
