t,x,y
99726,0.4236,0.1871
99762,0.3903,0.1639
99962,0.3858,0.1365
100129,0.4157,0.1334
100404,0.4571,0.1318
100621,0.4938,0.1383
100821,0.4628,0.1369
101012,0.5261,0.1418
101712,0.5575,0.1414
101904,0.5926,0.1385
102171,0.6191,0.1343
102429,0.507,0.2666
102587,0.4705,0.1634
102812,0.3997,0.132
103104,0.385,0.1307
103287,0.4593,0.1347
103521,0.4964,0.137
103754,0.4816,0.2047
103946,0.4846,0.184
104071,0.5767,0.1472
104246,0.5073,0.6247
104404,0.4792,0.5935
104837,0.5717,0.6165
105212,0.428,0.4812
105412,0.3873,0.4224
105646,0.3764,0.4144
105787,0.3783,0.3432
106137,0.3799,0.2969
106396,0.3814,0.246
106704,0.4658,0.2247
106912,0.4158,0.5143
107087,0.4244,0.5798
107296,0.5579,0.6155
107487,0.5402,0.6214
107596,0.5958,0.6132
107787,0.4923,0.6793
107996,0.4589,0.3956
108262,0.4802,0.2344
108712,0.4786,0.3788
108942,0.4854,0.5732
109346,0.4819,0.4846
109546,0.4769,0.5904
110196,0.4831,0.5746
110612,0.4711,0.5819
110804,0.4361,0.5811
111012,0.4881,0.5852
111162,0.4937,0.7735
111329,0.4955,0.7515
111502,0.4989,0.7124
111710,0.5022,0.6657
112104,0.5001,0.7009
112354,0.4997,0.8229
113854,0.5042,0.8886
114629,0.5058,0.7412
114821,0.5075,0.7821
115062,0.6714,0.7793
115421,0.5002,0.9487
115529,0.5059,0.918
116154,0.4673,0.4234
116571,0.4478,0.2448
116712,0.4521,0.1813
