answers,background,computer,question,retail,search_portal,social_network,software,Participant,Question
0,0,0,0,1,1,0,0,Participant15,1
0,0,0,1,0,2,0,0,Participant15,1
0,0,0,0,1,0,1,0,Participant15,1
0,2,0,0,0,1,0,0,Participant15,1
1,0,0,0,0,1,0,3,Participant15,1
0,0,0,1,1,0,0,2,Participant15,1
0,0,1,0,0,0,0,0,Participant15,1
1,0,1,1,2,0,0,0,Participant15,1
