t,x,y
72881,0.4626,0.2717
73386,0.4751,0.5295
73684,0.509,0.164
73803,0.4421,0.158
73903,0.4259,0.169
74020,0.3951,0.1495
74236,0.3718,0.1487
74445,0.4491,0.1459
74670,0.4924,0.1454
74878,0.5245,0.1473
75170,0.5831,0.1495
75428,0.6185,0.1419
75611,0.5053,0.1341
75845,0.4871,0.1386
76070,0.5155,0.1375
76436,0.5985,0.3009
76570,0.5984,0.3017
76728,0.5956,0.3347
77220,0.5358,0.4327
77428,0.4773,0.4627
77636,0.4826,0.5917
77860,0.4719,0.5936
78028,0.4899,0.7114
78736,0.4468,0.569
79020,0.4354,0.4718
79245,0.4816,0.8299
79395,0.4825,0.858
79595,0.414,0.3421
79753,0.373,0.3034
79978,0.3626,0.365
